fid;nama tempat;url tempat;alamat;nomor telepon;latitude;longitude;latilong;kategori gmaps;website;rating;review terbaru;status review;input direktori;modifikasi;kk;gid;bstt;luas;bsbtt;idsls;kdkab;kdkec;kdsls;nmkab;nmkec;nmsls;bstt_k;kddesa;kdprov;khusus;muatan;nmdesa;nmprov;posisi;segmen;subsls;sumber;dom_sls;periode;tingkat;idsubsls;nm_gedung;wil_campur
15252;Laundry Mahogany 2;https://www.google.com/maps/place/Laundry+Mahogany+2/@-1.2329865,116.8633036,17z/data=!4m6!3m5!1s0x2df147a21e6f74c5:0x38783f2af431c0b5!8m2!3d-1.2329865!4d116.8633036!16s%2Fg%2F11rvfvhxrh?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNS4wIKXMDSoASAFQAw%3D%3D;M7/35, Gunung Samarinda, Balikpapan Utara, Balikpapan City, East Kalimantan 76114;0812-5092-8329;-1,2329865;116,8633036;-1.2329865,116.8633036;Layanan Binatu;Website tidak ditemukan;5,0;5 bulan lalu;Ulasan terbaru tanpa label 'NEW';layanan binatu di balikpapan utara;19/06/2025;;213016;;0,048040468;;6,47103E+13;71;030;0009;BALIKPAPAN;BALIKPAPAN UTARA;RT 009;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15253;CV DD GLOBAL KARYA MANDIRI;https://www.google.com/maps/place/CV+DD+GLOBAL+KARYA+MANDIRI/@-1.2335928,116.8636795,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1463ee2df4805:0x2fcca8ac4b2461ed!8m2!3d-1.2335928!4d116.8636795!16s%2Fg%2F11c3mpdnln?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;prum wika m10 no23a, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0897-7909-978;-1,2335928;116,8636795;-1.2335928,116.8636795;Kontraktor Umum;Website tidak ditemukan;4,5;8 tahun lalu;Ulasan terbaru tanpa label 'NEW';katering di balikpapan barat;23/06/2025;;213016;;0,048040468;;6,47103E+13;71;030;0009;BALIKPAPAN;BALIKPAPAN UTARA;RT 009;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15254;RUMAH NONO;https://www.google.com/maps/place/RUMAH+NONO/@-1.2344397,116.8640464,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147eaa7af8001:0xcc291d5a28fbc49a!8m2!3d-1.2344397!4d116.8640464!16s%2Fg%2F11l796lgmp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;Jl. Cluster Mahogany II No.M16 No.24, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;Nomor telepon tidak ditemukan;-1,2344397;116,8640464;-1.2344397,116.8640464;Balai masyarakat;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;tempat acara di balikpapan barat;23/06/2025;;213016;;0,048040468;;6,47103E+13;71;030;0009;BALIKPAPAN;BALIKPAPAN UTARA;RT 009;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15255;Toko ATK Azzahra;https://www.google.com/maps/place/Toko+ATK+Azzahra/@-1.2353339,116.8631968,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14725c08bf37b:0xb41b7a08fb0c59ea!8m2!3d-1.2353339!4d116.8631968!16s%2Fg%2F11vlf0161k?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Perumahan Tamansari Bukit Mutiara/Wika, Jl. Cluster Mahogany II No.1 Blok M17, Kota Balikpapan, Kalimantan Timur 76125;0813-4727-9891;-1,2353339;116,8631968;-1.2353339,116.8631968;Toko Alat Tulis;Website tidak ditemukan;4,7;5 hari lalu;Ulasan terbaru berlabel 'NEW';grosir alat di balikpapan utara;09/07/2025;;213016;;0,048040468;;6,47103E+13;71;030;0009;BALIKPAPAN;BALIKPAPAN UTARA;RT 009;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15256;Rental Mobil Balikpapan (Lucky Rent Car);https://www.google.com/maps/place/Rental+Mobil+Balikpapan+(Lucky+Rent+Car)/@-1.2327441,116.869359,17z/data=!4m6!3m5!1s0x2df147fc54b0e789:0xb49aff4d03a4d385!8m2!3d-1.2327441!4d116.869359!16s%2Fg%2F11wftdfk7b?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Perumahan Tamansari Bukit Mutiara (WIKA) Cluster KH 3 No 10, Kel. Gunung Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;Nomor telepon tidak ditemukan;-1,2327441;116,869359;-1.2327441,116.869359;Agen Sewa Mobil;luckyrent.co.id;5,0;5 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15257;Kopi Maska;https://www.google.com/maps/place/Kopi+Maska/@-1.2333569,116.8688284,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147001d6c3331:0xd4d8cd0b371f2aed!8m2!3d-1.2333569!4d116.8688284!16s%2Fg%2F11w_v1j89r?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Tamansari Bukit Mutiara 2, Kluster Jl. Kutai Hill No.KH1/17, Kota Balikpapan, Kalimantan Timur 76114;0817-6022-865;-1,2333569;116,8688284;-1.2333569,116.8688284;Kedai Kopi;Website tidak ditemukan;5,0;3 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15258;Apotek Seven 24 Assalam;https://www.google.com/maps/place/Apotek+Seven+24+Assalam/@-1.2338168,116.8690791,17z/data=!4m6!3m5!1s0x2df147000da5a62f:0x8d0b2b67f469e844!8m2!3d-1.2338168!4d116.8690791!16s%2Fg%2F11wy8r9gd7?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. Kutai Hill KH1 No.7, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0851-1708-1757;-1,2338168;116,8690791;-1.2338168,116.8690791;Apotek;Website tidak ditemukan;5,0;3 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15259;Fun Natural Education (Terapi Anak Berkebutuhan Khusus);https://www.google.com/maps/place/Fun+Natural+Education+(Terapi+Anak+Berkebutuhan+Khusus)/@-1.2335261,116.8689745,17z/data=!4m6!3m5!1s0x2df1471233da0bdb:0xb83e3a6e9badd817!8m2!3d-1.2335261!4d116.8689745!16s%2Fg%2F11s8nh2b4h?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Perumahan WIKA Cluster, Jl. Kutai Hill No.1, RW.No.10, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0821-5511-7122;-1,2335261;116,8689745;-1.2335261,116.8689745;Klinik Pengajaran Psikologi;instagram.com;5,0;3 bulan lalu;Ulasan terbaru tanpa label 'NEW';prasekolahdi kota balikpapan;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15260;Bravo Satria Perkasa;https://www.google.com/maps/place/Bravo+Satria+Perkasa/@-1.2322113,116.8674235,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147397a4b4a1d:0x8d7fd3b6d5d26a49!8m2!3d-1.2322113!4d116.8674235!16s%2Fg%2F11k56gdsqz?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. Kutai Hill Baru No.18, RT.12, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76128;(0542) 8702953;-1,2322113;116,8674235;-1.2322113,116.8674235;Layanan Satpam;bspalihdaya.com;1,0;10 bulan lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge;19/06/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15261;PT. SAMUDRA SHIPPING AGENCY;https://www.google.com/maps/place/PT.+SAMUDRA+SHIPPING+AGENCY/@-1.2326679,116.8673326,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14721ce7ebfef:0x4d1c3523cbe9d3d3!8m2!3d-1.2326679!4d116.8673326!16s%2Fg%2F11rmr61kdx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PERUM TAMANSARI BUKIT MUTIARA, CLUSTER KUTAI HILLS BLOK KH8 NO.17 RT.012, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76128;(0542) 8514969;-1,2326679;116,8673326;-1.2326679,116.8673326;Perusahaan Ekspedisi;samudrashippingagency-bpn.com;4,9;3 tahun lalu;Ulasan terbaru tanpa label 'NEW';pakboss-Merge (3);23/06/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15262;Rumah mas go;https://www.google.com/maps/place/Rumah+mas+go/@-1.2336972,116.8683352,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147f6f5228ddd:0x4ede417805915512!8m2!3d-1.2336972!4d116.8683352!16s%2Fg%2F11rj_n7yfp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOS4wIKXMDSoASAFQAw%3D%3D;QV89+G8G, Jl. Kutai Hill, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2336972;116,8683352;-1.2336972,116.8683352;Pembangunan Perumahan;Website tidak ditemukan;5,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';pembangun rumahdi balikpapan utara;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15263;Mapsjarimatika;https://www.google.com/maps/place/Jarimatika/@-1.2333189,116.8678215,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14702c928e1e3:0x36474f1a30f4b546!8m2!3d-1.2333189!4d116.8678215!16s%2Fg%2F11lgp0q650?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOS4wIKXMDSoASAFQAw%3D%3D;Jl. Kutai Hill kh 6 No.38, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2333189;116,8678215;-1.2333189,116.8678215;Sekolah Tari;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;sekolah taridi balikpapan utara;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15264;Mapsroti Gandum Naw3;https://www.google.com/maps/place/Roti+gandum+naw3/@-1.2327019,116.8672098,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147b8fa7d2953:0xc81543fbec839f01!8m2!3d-1.2327019!4d116.8672098!16s%2Fg%2F11nz_d06rr?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOS4wIKXMDSoASAFQAw%3D%3D;KH8 No.18, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2327019;116,8672098;-1.2327019,116.8672098;Toko Ban;Website tidak ditemukan;5,0;;Ulasan terbaru tanpa label 'NEW';toko bandi balikpapan utara;28/05/2023;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15265;Diana Bakery and Catering;https://www.google.com/maps/place/Diana+Bakery+and+Catering/@-1.2331106,116.8675874,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147ba546a0629:0xa866d5998ae4281a!8m2!3d-1.2331106!4d116.8675874!16s%2Fg%2F11p11c42v8?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl. Kutai Hill Blok KH 8 No.8, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;0878-6569-4449;-1,2331106;116,8675874;-1.2331106,116.8675874;Pemasok makanan dan minuman katering;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;pemasok makanan dan minuman katering di balikpapan utara;17/06/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15266;MITRA STUDIO;https://www.google.com/maps/place/MITRA+STUDIO/@-1.2333615,116.8671922,17z/data=!4m6!3m5!1s0x2df147ae21907f95:0x909113a3e8a363a4!8m2!3d-1.2333615!4d116.8671922!16s%2Fg%2F11qgz81rjl?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D;Kompleks wika cluster, Jl. Kutai Hill KH 7 No.17, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;Nomor telepon tidak ditemukan;-1,2333615;116,8671922;-1.2333615,116.8671922;Percetakan Komersial;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;pemasok stiker di balikpapan utara;23/06/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15267;DapurGudegBpn;https://www.google.com/maps/place/DapurGudegBpn/@-1.2322297,116.868188,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1475add2d4827:0x89084281d16939a5!8m2!3d-1.2322297!4d116.868188!16s%2Fg%2F11rfs23lgv?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Kutaihills KH 10 No.10, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2322297;116,868188;-1.2322297,116.868188;Restoran Indonesia;Website tidak ditemukan;4,6;3 tahun lalu;Ulasan terbaru tanpa label 'NEW';dapur di balikpapan utara;09/07/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15268;PT. Anugerah Tekno Jaya;https://www.google.com/maps/place/PT.+Anugerah+Tekno+Jaya/@-1.2330682,116.8692191,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14713a3db9c4d:0xba0e69a90931a8cc!8m2!3d-1.2330682!4d116.8692191!16s%2Fg%2F11jdcyr8cc?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D;Komp. Taman Sari Bukit Mutiara, Blk. KH No.4 / 14, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76128;0813-7111-6488;-1,2330682;116,8692191;-1.2330682,116.8692191;Kontraktor Umum;Website tidak ditemukan;5,0;3 tahun lalu;Ulasan terbaru tanpa label 'NEW';facility construction contractor di balikpapan utara;10/07/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15269;Gazebo Kutai Hills;https://www.google.com/maps/place/Gazebo+Kutai+Hills/@-1.2331862,116.8686748,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1461597208ad3:0xe047a8013150fcd4!8m2!3d-1.2331862!4d116.8686748!16s%2Fg%2F11fy4v5zvw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D;QV89+PFF, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2331862;116,8686748;-1.2331862,116.8686748;Tukang Bangunan Gazebo;Website tidak ditemukan;4,4;6 tahun lalu;Ulasan terbaru tanpa label 'NEW';gazebo di balikpapan utara;10/07/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15270;Kantor Panwas Kecamatan Utara;https://www.google.com/maps/place/Kantor+Panwas+Kecamatan+Utara/@-1.2334963,116.8694021,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14615a429c877:0x3604de18bf55627f!8m2!3d-1.2334963!4d116.8694021!16s%2Fg%2F11gf9m8n5p?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D;jl. tiga perum wika kh 3/ No. 4, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2334963;116,8694021;-1.2334963,116.8694021;Kategori tidak ditemukan;Website tidak ditemukan;4,5;7 tahun lalu;Ulasan terbaru tanpa label 'NEW';kantor kotapraja di balikpapan utara;10/07/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15271;Gnade Music;https://www.google.com/maps/place/Gnade+Music/@-1.2328407,116.867682,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146158afc5329:0x45872f4c35518e47!8m2!3d-1.2328407!4d116.867682!16s%2Fg%2F11dzt1wrhb?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D;Jl. Kutai Hill No.12 8, Gunung Samarinda, Balikpapan Utara, Balikpapan City, East Kalimantan 76114;0851-8611-0090;-1,2328407;116,867682;-1.2328407,116.867682;Sekolah Musik;Website tidak ditemukan;5,0;4 tahun lalu;Ulasan terbaru tanpa label 'NEW';kelas musik di balikpapan utara;10/07/2025;;213017;;0,057669971;;6,47103E+13;71;030;0013;BALIKPAPAN;BALIKPAPAN UTARA;RT 013;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15272;SDIT ASSALAM BALIKPAPAN;https://www.google.com/maps/place/SDIT+ASSALAM+BALIKPAPAN/@-1.2325707,116.8709406,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147084b187005:0xcc94450c5d00ba18!8m2!3d-1.2325707!4d116.8709406!16s%2Fg%2F11n5s6nd7s?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0821-5728-4977;-1,2325707;116,8709406;-1.2325707,116.8709406;Sekolah Dasar;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;sekolah dasar di kota Balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15273;Lemille Coffee;https://www.google.com/maps/place/Lemille+Coffee/@-1.2279018,116.8701867,17z/data=!4m6!3m5!1s0x2df14742e27e2eb7:0xd5b57cd340f38f44!8m2!3d-1.2279018!4d116.8701867!16s%2Fg%2F11n7ztgm8h?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D;Jl. MT Haryono No.46, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0812-5804-1576;-1,2279018;116,8701867;-1.2279018,116.8701867;Kedai Kopi;Website tidak ditemukan;4,7;8 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15274;GOR Hevindo ARENA;https://www.google.com/maps/place/GOR+Hevindo+ARENA/@-1.2278155,116.8694835,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147e15d2f64ed:0xd118ad992e1b006d!8m2!3d-1.2278155!4d116.8694835!16s%2Fg%2F11kjmzhs92?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono No.16, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0821-5528-2950;-1,2278155;116,8694835;-1.2278155,116.8694835;Lapangan Bulutangkis;Website tidak ditemukan;4,9;4 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15275;Badan Penanggulangan Bencana Daerah (BPBD) Provinsi Kaltim;https://www.google.com/maps/place/Badan+Penanggulangan+Bencana+Daerah+(BPBD)+Provinsi+Kaltim/@-1.2279785,116.8699475,17z/data=!4m6!3m5!1s0x2df146112b79cbfd:0xa3488d40d3a1a489!8m2!3d-1.2279785!4d116.8699475!16s%2Fg%2F1pzxc4j3f?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;QVC9+RX4, JL MT Haryono, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 75243;(0541) 733766;-1,2279785;116,8699475;-1.2279785,116.8699475;Kantor Pemerintah;Website tidak ditemukan;5,0;;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15276;The Wheat;https://www.google.com/maps/place/The+Wheat/@-1.228005,116.8707231,17z/data=!4m6!3m5!1s0x2df14710dcdb1cf1:0x334d3870fcb827c5!8m2!3d-1.228005!4d116.8707231!16s%2Fg%2F11qrqg58xz?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono No.16, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0857-1805-0020;-1,228005;116,8707231;-1.228005,116.8707231;Toko Kue Kering;linktr.ee;4,2;seminggu lalu;Ulasan terbaru berlabel 'NEW';balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15277;Pijat Tuna Netra Berijazah;https://www.google.com/maps/place/Pijat+Tuna+Netra+Berijazah/@-1.2290076,116.8696356,17z/data=!4m6!3m5!1s0x2df14617b0091677:0xfe13b1bb739ac1d7!8m2!3d-1.2290076!4d116.8696356!16s%2Fg%2F11f4_2ym1z?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;QVC9+9VR, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114;0813-4726-9918;-1,2290076;116,8696356;-1.2290076,116.8696356;Tukang Pijat Refleksi;Website tidak ditemukan;4,9;7 tahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15278;BETON JAYA BARU;https://www.google.com/maps/place/BETON+JAYA+BARU/@-1.2286928,116.8692982,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147a40c4aed9b:0x9c2010e5ceed58f!8m2!3d-1.2286928!4d116.8692982!16s%2Fg%2F11s5sdhkd9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Gg. Aryo Penangsang, RT.08/RW.No 34, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;0813-6500-7700;-1,2286928;116,8692982;-1.2286928,116.8692982;Pemasok produk beton;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;kontraktor betondi kota balikpapan;28/05/2023;;213018;;0,184912664;;6,47103E+13;71;030;0029;BALIKPAPAN;BALIKPAPAN UTARA;RT 029;;005;64;;;GUNUNG SAMARINDA BARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
